name,sub_name,sub_name_sub,roman,sub_roman
児湯郡,こゆぐん,こゆ,Koyu,Koyu
高鍋町,たかなべちょう,たかなべ,Takanabe,Takanabe
新富町,しんとみちょう,しんとみ,Shintomi,Sintomi
西米良村,にしめらそん,にしめら,Nishimera,Nisimera
木城町,きじょうちょう,きじょう,Kijo,Kizyo
川南町,かわみなみちょう,かわみなみ,Kawaminami,Kawaminami
都農町,つのちょう,つの,Tsuno,Tuno
東臼杵郡,ひがしうすきぐん,ひがしうすき,Higashiusuki,Higasiusuki
門川町,かどがわちょう,かどがわ,Kadogawa,Kadogawa
諸塚村,もろつかそん,もろつか,Morotsuka,Morotuka
椎葉村,しいばそん,しいば,Shiiba,Siiba
美郷町,みさとちょう,みさと,Misato,Misato
西臼杵郡,にしうすきぐん,にしうすき,Nishiusuki,Nisiusuki
高千穂町,たかちほちょう,たかちほ,Takachiho,Takatiho
日之影町,ひのかげちょう,ひのかげ,Hinokage,Hinokage
五ヶ瀬町,ごかせちょう,ごかせ,Gokase,Gokase
鹿児島県,かごしまけん,かごしま,Kagoshima,Kagosima
鹿児島市,かごしまし,かごしま,Kagoshima,Kagosima
鹿屋市,かのやし,かのや,Kanoya,Kanoya
枕崎市,まくらざきし,まくらざき,Makurazaki,Makurazaki
阿久根市,あくねし,あくね,Akune,Akune
出水市,いずみし,いずみ,Izumi,Izumi
指宿市,いぶすきし,いぶすき,Ibusuki,Ibusuki
西之表市,にしのおもてし,にしのおもて,Nishinoomote,Nisinoomote
垂水市,たるみずし,たるみず,Tarumizu,Tarumizu
薩摩川内市,さつませんだいし,さつませんだい,Satsumasendai,Satumasendai
日置市,ひおきし,ひおき,Hioki,Hioki
曽於市,そおし,そお,Soo,Soo
霧島市,きりしまし,きりしま,Kirishima,Kirisima
いちき串木野市,いちきくしきのし,いちきくしきの,Ichikikushikino,Itikikusikino
南さつま市,みなみさつまし,みなみさつま,Minamisatsuma,Minamisatuma
志布志市,しぶしし,しぶし,Shibushi,Sibusi
奄美市,あまみし,あまみ,Amami,Amami
南九州市,みなみきゅうしゅうし,みなみきゅうしゅう,Minamikyushu,Minamikyusyu
伊佐市,いさし,いさ,Isa,Isa
姶良市,あいらし,あいら,Aira,Aira
鹿児島郡,かごしまぐん,かごしま,Kagoshima,Kagosima
三島村,みしまむら,みしま,Mishima,Misima
十島村,としまむら,としま,Toshima,Tosima
薩摩郡,さつまぐん,さつま,Satsuma,Satuma
さつま町,さつまちょう,さつま,Satsuma,Satuma
出水郡,いずみぐん,いずみ,Izumi,Izumi
長島町,ながしまちょう,ながしま,Nagashima,Nagasima
姶良郡,あいらぐん,あいら,Aira,Aira
湧水町,ゆうすいちょう,ゆうすい,Yusui,Yusui
曽於郡,そおぐん,そお,Soo,Soo
大崎町,おおさきちょう,おおさき,osaki,osaki
肝属郡,きもつきぐん,きもつき,Kimotsuki,Kimotuki
東串良町,ひがしくしらちょう,ひがしくしら,Higashikushira,Higasikusira
錦江町,きんこうちょう,きんこう,Kinko,Kinko
南大隅町,みなみおおすみちょう,みなみおおすみ,Minamiosumi,Minamiosumi
肝付町,きもつきちょう,きもつき,Kimotsuki,Kimotuki
熊毛郡,くまげぐん,くまげ,Kumage,Kumage
中種子町,なかたねちょう,なかたね,Nakatane,Nakatane
南種子町,みなみたねちょう,みなみたね,Minamitane,Minamitane
屋久島町,やくしまちょう,やくしま,Yakushima,Yakusima
大島郡,おおしまぐん,おおしま,oshima,osima
大和村,やまとそん,やまと,Yamato,Yamato
宇検村,うけんそん,うけん,Uken,Uken
瀬戸内町,せとうちちょう,せとうち,Setouchi,Setouti
龍郷町,たつごうちょう,たつごう,Tatsugo,Tatugo
喜界町,きかいちょう,きかい,Kikai,Kikai
徳之島町,とくのしまちょう,とくのしま,Tokunoshima,Tokunosima
天城町,あまぎちょう,あまぎ,Amagi,Amagi
伊仙町,いせんちょう,いせん,Isen,Isen
和泊町,わどまりちょう,わどまり,Wadomari,Wadomari
知名町,ちなちょう,ちな,China,Tina
与論町,よろんちょう,よろん,Yoron,Yoron
沖縄県,おきなわけん,おきなわ,Okinawa,Okinawa
那覇市,なはし,なは,Naha,Naha
宜野湾市,ぎのわんし,ぎのわん,Ginowan,Ginowan
石垣市,いしがきし,いしがき,Ishigaki,Isigaki
浦添市,うらそえし,うらそえ,Urasoe,Urasoe
名護市,なごし,なご,Nago,Nago
糸満市,いとまんし,いとまん,Itoman,Itoman
沖縄市,おきなわし,おきなわ,Okinawa,Okinawa
豊見城市,とみぐすくし,とみぐすく,Tomigusuku,Tomigusuku
うるま市,うるまし,うるま,Uruma,Uruma
宮古島市,みやこじまし,みやこじま,Miyakojima,Miyakozima
南城市,なんじょうし,なんじょう,Nanjo,Nanzyo
国頭郡,くにがみぐん,くにがみ,Kunigami,Kunigami
国頭村,くにがみそん,くにがみ,Kunigami,Kunigami
大宜味村,おおぎみそん,おおぎみ,ogimi,ogimi
東村,ひがしそん,ひがし,Higashi,Higasi
今帰仁村,なきじんそん,なきじん,Nakijin,Nakizin
本部町,もとぶちょう,もとぶ,Motobu,Motobu
恩納村,おんなそん,おんな,Onna,Onna
宜野座村,ぎのざそん,ぎのざ,Ginoza,Ginoza
金武町,きんちょう,きん,Kin,Kin
伊江村,いえそん,いえ,Ie,Ie
中頭郡,なかがみぐん,なかがみ,Nakagami,Nakagami
読谷村,よみたんそん,よみたん,Yomitan,Yomitan
嘉手納町,かでなちょう,かでな,Kadena,Kadena
北谷町,ちゃたんちょう,ちゃたん,Chatan,Tyatan
北中城村,きたなかぐすくそん,きたなかぐすく,Kitanakagusuku,Kitanakagusuku
中城村,なかぐすくそん,なかぐすく,Nakagusuku,Nakagusuku
西原町,にしはらちょう,にしはら,Nishihara,Nisihara
島尻郡,しまじりぐん,しまじり,Shimajiri,Simaziri
与那原町,よなばるちょう,よなばる,Yonabaru,Yonabaru
南風原町,はえばるちょう,はえばる,Haebaru,Haebaru
渡嘉敷村,とかしきそん,とかしき,Tokashiki,Tokasiki
座間味村,ざまみそん,ざまみ,Zamami,Zamami
粟国村,あぐにそん,あぐに,Aguni,Aguni
渡名喜村,となきそん,となき,Tonaki,Tonaki
南大東村,みなみだいとうそん,みなみだいとう,Minamidaito,Minamidaito
北大東村,きただいとうそん,きただいとう,Kitadaito,Kitadaito
伊平屋村,いへやそん,いへや,Iheya,Iheya
伊是名村,いぜなそん,いぜな,Izena,Izena
久米島町,くめじまちょう,くめじま,Kumejima,Kumezima
八重瀬町,やえせちょう,やえせ,Yaese,Yaese
宮古郡,みやこぐん,みやこ,Miyako,Miyako
多良間村,たらまそん,たらま,Tarama,Tarama
八重山郡,やえやまぐん,やえやま,Yaeyama,Yaeyama
竹富町,たけとみちょう,たけとみ,Taketomi,Taketomi
与那国町,よなぐにちょう,よなぐに,Yonaguni,Yonaguni
